id,date_time,loan_number,emi_amount,loan_amount,principal_outstanding,cp_name,total_penalty_charges,tenure,current_bucket_name,month_year,is_unable_to_pay,latitude,longitude,user_id,branch_id,image_uploaded,is_visit_done_from_allocations,reporting_officer_id,Customer Not Available,PTP,Paid,total_charges,payment_link,district_plot,propensity_score
58613,2024-10-10 03:09:38,LNA_1_21,99.0,1200000.0,1000000.02,BIRLA FINANCE,13.0,20,NEW,2024-10,False,17.369839,78.53976,80516d36-4bc4-4570-8e02-1cdac4ac4e88,34d310e7-367f-48bf-a1f4-75e39433bb34,True,True,7410244a-088e-4383-833d-dd2389efa8b3,0,0,1,0.0,False,Ranga Reddy,0.36452507068852036
4956,2023-05-12 03:45:10,AT1234610,8800.2,140000.0,74555.9,BAJAJ FINANCE,200.0,20,2.35,2023-05,False,17.402697,78.372925,7211675f-0260-40ea-a60f-065c8ca7350b,34d310e7-367f-48bf-a1f4-75e39433bb34,True,False,ee3c950d-d6b9-4b09-b027-0dd20bdb6016,1,0,1,0.0,False,Ranga Reddy,0.153442113157606
41296,2024-04-16 08:35:14,LN0000013,99.0,1200000.0,1000000.0,BAJAJ FINANCE,12.0,20,2,2024-04,False,17.369694,78.53985,13ffc8d1-d3a5-4693-8ba4-f854e287bbdd,ec8b3a3a-fdca-45cb-acd5-283c29ae39a2,False,True,0beaaa0c-9362-4348-af85-424d6c3137ee,0,0,1,0.0,False,Ranga Reddy,0.27242168154812807
58777,2024-10-28 07:20:30,LO_W_E_12,8800.2,140000.0,74555.89,SRI RAM FINANCE,200.0,20,2.35,2024-10,False,17.369822,78.53979,80516d36-4bc4-4570-8e02-1cdac4ac4e88,34d310e7-367f-48bf-a1f4-75e39433bb34,False,True,7410244a-088e-4383-833d-dd2389efa8b3,1,0,0,0.0,False,Ranga Reddy,0.19157315937214017
58306,2024-10-11 06:10:39,LNA099,99.0,1200000.0,1000000.02,BIRLA FINANCE,13.0,20,NEW,2024-10,False,17.369823,78.53977,80516d36-4bc4-4570-8e02-1cdac4ac4e88,34d310e7-367f-48bf-a1f4-75e39433bb34,True,True,7410244a-088e-4383-833d-dd2389efa8b3,2,0,1,36.0,False,Ranga Reddy,0.08748446229666353
46512,2024-05-01 04:43:42,LN_MAY_9991,99.0,1200000.0,1000000.0,AU BANK,12.0,20,2,2024-05,True,17.36969,78.53985,0270dd94-b389-4cb2-afe4-511affde64a4,a87b91f0-2680-477b-acd2-0da5e6f3dbee,False,True,ba18569d-cfd9-4434-bbf1-942720b4cde4,0,1,0,0.0,False,Ranga Reddy,0.3355338709510328
6415,2023-08-21 12:19:40,QA1234725,8800.2,140000.0,74555.9,SRI RAM FINANCE,200.0,20,2.35,2023-08,False,17.436426,78.44065,1ced5838-8fea-4f85-89fd-14b823f69ed9,34d310e7-367f-48bf-a1f4-75e39433bb34,True,True,ee3c950d-d6b9-4b09-b027-0dd20bdb6016,4,1,4,0.0,False,Ranga Reddy,0.21514299530388725
31151,2024-01-05 10:11:39,809003038115,8800.21,1200000.0,1000000.0,SRI RAM FINANCE,200.88,20,2,2024-01,True,17.369715,78.5398,7211675f-0260-40ea-a60f-065c8ca7350b,34d310e7-367f-48bf-a1f4-75e39433bb34,False,True,ee3c950d-d6b9-4b09-b027-0dd20bdb6016,1,0,0,0.0,False,Ranga Reddy,0.4621843446414325
58175,2024-10-01 03:30:42,LNA029,99.0,1200000.0,1000000.0,BIRLA FINANCE,13.0,20,NEW,2024-10,False,17.369843,78.53976,1ced5838-8fea-4f85-89fd-14b823f69ed9,34d310e7-367f-48bf-a1f4-75e39433bb34,True,True,a9cf721c-56fe-4e6a-aa7c-fd56f4b04efd,0,0,1,0.0,False,Ranga Reddy,0.29411268569558957
58763,2024-10-21 08:09:39,LN_JUNE_011,8800.2,140000.0,74555.89,DECCAN FINANCE,200.0,20,2.35,2024-10,False,17.36984,78.539764,1ced5838-8fea-4f85-89fd-14b823f69ed9,34d310e7-367f-48bf-a1f4-75e39433bb34,True,True,a9cf721c-56fe-4e6a-aa7c-fd56f4b04efd,2,0,0,0.0,False,Ranga Reddy,0.14231507273204205
57628,2024-09-06 05:51:22,APP_8,99.0,1200000.0,1000000.0,BIRLA FINANCE,-10.0,20,2,2024-09,False,17.369816,78.53978,80516d36-4bc4-4570-8e02-1cdac4ac4e88,34d310e7-367f-48bf-a1f4-75e39433bb34,True,True,7410244a-088e-4383-833d-dd2389efa8b3,0,0,1,0.0,False,Ranga Reddy,0.36481735058700127
6594,2023-08-24 07:48:06,QA1234711143,8800.2,140000.0,74555.9,AU BANK,200.0,20,2.35,2023-08,True,17.369701,78.53978,029677ba-8ed8-4728-b2a1-22951f2f1aca,8ef7d7be-93a9-4200-8cbb-76a14dc903,True,True,58ae2c6b-01b4-4af9-bd16-8c077807f46f,0,1,0,0.0,False,Ranga Reddy,0.15179188127955837
46705,2024-06-03 05:34:02,LN_JUNE_021,99.0,1200000.0,1000000.0,BIRLA FINANCE,12.0,20,2,2024-06,True,17.36969,78.53983,80516d36-4bc4-4570-8e02-1cdac4ac4e88,34d310e7-367f-48bf-a1f4-75e39433bb34,True,True,ee3c950d-d6b9-4b09-b027-0dd20bdb6016,1,0,0,0.0,False,Ranga Reddy,0.3728103843460776
46854,2024-06-05 08:08:53,LN_J_0027,8800.21,1200000.0,1000000.0,SRI RAM FINANCE,200.88,20,2,2024-06,True,17.369698,78.53985,13ffc8d1-d3a5-4693-8ba4-f854e287bbdd,ec8b3a3a-fdca-45cb-acd5-283c29ae39a2,True,True,0beaaa0c-9362-4348-af85-424d6c3137ee,0,1,0,0.0,False,Ranga Reddy,0.4614940078668823
